Age,Males,Females
20,0.00034,0.000203
21,0.000338,0.000202
22,0.000337,0.000202
23,0.000335,0.000202
24,0.000334,0.000202
25,0.000333,0.000203
26,0.000332,0.000204
27,0.000331,0.000206
28,0.000331,0.000209
29,0.000332,0.000212
30,0.000333,0.000217
31,0.000335,0.000222
32,0.000338,0.000230
33,0.000343,0.000238
34,0.000349,0.000249
35,0.000357,0.000263
36,0.000367,0.000279
37,0.00038,0.000298
38,0.000396,0.000321
39,0.000417,0.000349
40,0.000443,0.000382
41,0.000475,0.000421
42,0.000514,0.000468
43,0.000561,0.000522
44,0.000619,0.000586
45,0.000689,0.000662
46,0.000774,0.000750
47,0.000876,0.000852
48,0.000997,0.000972
49,0.001142,0.001110
50,0.001315,0.001271
51,0.001519,0.001456
52,0.001761,0.001670
53,0.002045,0.001917
54,0.002379,0.002200
55,0.002771,0.002524
56,0.003228,0.002894
57,0.003759,0.003317
58,0.004376,0.003799
59,0.00509,0.004345
60,0.005914,0.004965
61,0.006861,0.005667
62,0.007947,0.006458
63,0.009189,0.007350
64,0.010604,0.008352
65,0.012211,0.009476
66,0.014032,0.010734
67,0.016088,0.012138
68,0.018402,0.013703
69,0.020998,0.015442
70,0.023901,0.017371
71,0.027137,0.019505
72,0.030732,0.021861
73,0.034713,0.024455
74,0.039105,0.027306
75,0.043935,0.030432
76,0.049227,0.033849
77,0.055006,0.037577
78,0.061292,0.041632
79,0.068106,0.046035
80,0.075464,0.050800
81,0.083379,0.055946
82,0.091862,0.061488
83,0.100917,0.067441
84,0.110544,0.073817
85,0.120739,0.080629
86,0.131492,0.087885
87,0.142786,0.095594
88,0.154599,0.103761
89,0.166903,0.112386
90,0.179664,0.121470
91,0.192841,0.131009
92,0.206389,0.140996
93,0.220257,0.151420
94,0.234389,0.162267
95,0.248727,0.173519
96,0.263206,0.185155
97,0.277762,0.197150
98,0.292327,0.209477
99,0.306832,0.222103
100,0.321209,0.234995
101,0.335389,0.248115
102,0.349305,0.261424
103,0.362893,0.274879
104,0.376091,0.288437
105,0.388838,0.302054
106,0.401079,0.315684
107,0.412763,0.329280
108,0.423842,0.342795
109,0.434272,0.356185
110,0.444014,0.369403
111,0.453033,0.382406
112,0.461297,0.395150
113,0.46878,0.407594
114,0.475459,0.419700
115,0.481313,0.431431
116,0.486326,0.442752
117,0.490484,0.453630
118,0.493776,0.464038
119,0.496194,0.473947
120,1,1.000000
